English Comments,Translate Comments
there are enough moments of heartbreaking honesty to keep one glued to the screen,አንድ በማያ ገጹ ላይ ተጣብቆ እንዲቆይ ለማድረግ ልብ የሚሰብር ሐቀኛ ​​ጊዜዎች አሉ
day is not great bond movie but it is good bond movie which still makes it much better than your typical bond knock offs,ቀን በጣም ጥሩ የማስያዣ ፊልም አይደለም ነገር ግን ጥሩ የቦንድ ፊልም ነው
the passions aroused by the discord between old and new cultures are set against the strange stark beauty of the mideast desert so lovingly and perceptively filmed that you can almost taste the desiccated air,በቀድሞ እና በአዳዲስ ባህሎች መካከል የተፈጠረው አለመግባባት የተቀሰቀሰው የፍቅረኛውን አየር ለማጣጣም በፍቅር እና በማስተዋል በተቀረፀው የሜድሃው በረሃማ እንግዳ የሆነ አስደናቂ ውበት ላይ ነው ፡፡
you might not buy the ideas but you ll definitely want the shirt,ሀሳቦቹን አልገዙ ይሆናል ግን ሸሚዙን በእርግጠኝነት ይፈልጋሉ
one of the greatest romantic comedies of the past decade,ላለፉት አስርት ዓመታት ካሉት ታላላቅ የፍቅር ኮሜዲዎች አንዱ
as witness to several greek american weddings but happily victim of none can testify to the comparative accuracy of ms vardalos memories and insights,"ለብዙ የግሪክ አሜሪካውያን ሠርግ ምስክር ቢሆንም በደስታ አንዳቸውም ቢጎዱም የ""ሚስ ቫርዳሎስ"" ትዝታዎችን እና ግንዛቤዎችን የንፅፅር ትክክለኛነት ሊመሰክር ይችላል ፡፡"
thankfully the film which skirts that rapidly deteriorating line between fantasy and reality takes tongue in cheek attitude even as it pushes the croc hunter agenda,በቅዠት እና በእውነታው መካከል በፍጥነት እያሽቆለቆለ የሚሄድ መስመርን የሚያሳልፈው ፊልም አመስጋኝ አጀንዳውን የሚገፋ ቢሆንም እንኳ በጉንጭ አመለካከት ምላስን ይይዛል
it uses an old time formula it not terribly original and it rather messy but you just have to love the big dumb happy movie my big fat greek wedding,እሱ የድሮ ጊዜ ቀመር ይጠቀማል በጣም የመጀመሪያ እና እሱ በጣም የተዝረከረከ ነው ግን እርስዎ ብቻ ትልቅ ዲዳ ደስተኛ ፊልም መውደድ አለብዎት የእኔ ትልቅ ወፍራም የግሪክ ሰርግ
the principals in this cast are all fine but bishop and stevenson are standouts,በዚህ ተዋንያን ውስጥ ያሉ ርዕሰ መምህራን ሁሉም ደህና ናቸው ፣ ግን ኤጲስ ቆጶሱ እና እስቴቨንሰን ጎልተው የሚታዩ ናቸው
this clever caper movie has twists worthy of david mamet and is enormous fun for thinking audiences,ይህ ጎበዝ ካፒታል ፊልም ለዳቪድ ማሚት ተስማሚ የሆኑ ጠመዝማዛዎች ያሉት ሲሆን ታዳሚያንን ለማሰብ እጅግ አስደሳች ነው
finally genre movie that delivers in couple of genres no less,በመጨረሻም የዘውግ ፊልሞችን በሁለት ዘውጎች ያላነሰ ያቀርባል
post 11 the philosophical message of personal freedom first might not be as palatable as intended,ልጥፍ 11 የግል ነፃነት ፍልስፍናዊ መልእክት በመጀመሪያ እንደታሰበው የሚጣፍጥ ላይሆን ይችላል
easier to respect than enthuse over andersson rigorous personal vision is not only distanced but distancing,ከከባድ የግል እይታ ጋር ከመደሰት የበለጠ ለማክበር ቀላል ነው ፣ የተራቀቀ ብቻ ሳይሆን መራራቅ
while this film is not in the least surprising it is still ultimately very satisfying think of it as sort of comfort food for the mind,ይህ ፊልም በጣም የሚያስደንቅ ባይሆንም አሁንም ቢሆን በጣም አስደሳች እና ለአዕምሮ እንደ ምቾት ምግብ ነው
clever brutal and strangely soulful movie,ጎበዝ ጨካኝ እና እንግዳ ነፍሳዊ ፊልም
will grab your children by the imagination and amaze them and amuse them,ልጆቻችሁን በዓይነ ሕሊናቸው ይይዛቸዋል እናም ያስደንቃቸዋል እንዲሁም ያሾፍባቸዋል
it terrific american sports movie and dennis quaid is its athletic heart,በጣም የሚያስደስት የአሜሪካ የስፖርት ፊልም እና የዴኒስ ኳድ የአትሌቲክስ ልብ ነው
this is such high energy movie where the drumming and the marching are so excellent who cares if the story little weak,ይህ ከበሮ እና ሰልፉ በጣም ጥሩ በሚሆንበት ይህ ታሪኩ ትንሽ ደካማ ከሆነ ማን ግድ ይለዋል
attal mixes comedy with serious exploration of ego and jealousy within seemingly serene marriage,አታል አስቂኝ በሚመስለው ጋብቻ ውስጥ አስቂኝነትን ከከባድ የእራስ ቅናት እና ቅናት ጋር ይደባለቃል
as randy film about sexy people in gorgeous places being pushed and pulled literally and figuratively by desire [sex and lucia] makes for an arousing good time,ውብ በሆኑ ቦታዎች ስለ ወሲባዊ ሰዎች ስለ ወሲብ ነክ ፊልም በቃል እና በምስል በምቾት መገፋፋት እና መሳብ [ወሲብ እና ሉሲያ] ጥሩ ስሜት ይፈጥራል
if no one singles out any of these performances as award worthy it only because we would expect nothing less from this bunch,ከእነዚህ ትርኢቶች ውስጥ አንዱን ይህን ሽልማት ማንም የማይለየው ከሆነ ለዚህ ብቁ ምንም አንጠብቅም ምክንያቱም ብቻ ነው
it rare to find film that dazzles the eye challenges the brain and satisfies our lust for fast paced action but minority report delivers all that and whole lot more,ዓይንን የሚያደነዝዝ አንጎልን የሚፈታተን እና ፈጣን እርምጃ ለመውሰድ ፍላጎታችንን የሚያረካ ፊልም መፈለግ ብርቅ ነው ነገር ግን የአናሳዎች ሪፖርት ያንን ሁሉ እና ብዙ ብዙዎችን ያቀርባል ፡፡
the stunning dreamlike visuals will impress even those viewers who have little patience for euro film pretension,አስገራሚ የሕልም መሰል ዕይታዎች ለዩሮ ፊልም ትዕግሥት አነስተኛ ትዕግሥት ያላቸውን ተመልካቾችን እንኳን ያስደምማሉ
there vastness implied in metropolis that is just breathtaking,በጣም አስደናቂ በሆነ የከተማ ከተማ ውስጥ የተመለከተ ሰፊነት አለ
murderous maids may well be the most comprehensive of these films and also strike closest to the truth,ነፍሰ ገዳይ ገረዶች ከእነዚህ ፊልሞች ሁሉን አቀፍ ሊሆኑ ይችላሉ እንዲሁም ለእውነት ቅርብ ሊሆኑ ይችላሉ
its scenes and sensibility are all more than familiar but it exudes kind of nostalgic spy movie charm and at the same time is so fresh and free of the usual thriller nonsense that it all seems to be happening for the first time,ትዕይንቶቹ እና ስሜታዊነቱ ሁሉም ከሚታወቁ ነገሮች የበለጠ ነው ፣ ግን እሱ የሚያንፀባርቅ እና የማይረባ የስለላ ፊልም ማራኪነትን ያሳያል እና በተመሳሳይ ጊዜ በጣም አስደሳች እና ከተለመደው አስደሳች ወሬ ነፃ ስለሆነ ሁሉም ለመጀመሪያ ጊዜ የተከሰተ ይመስላል።
charming yet poignant tale of the irrevocable ties that bind,የሚያስሩ የማይሻሩ ግንኙነቶች አስደሳች እና አስደሳች ታሪክ
the movie has an avalanche of eye popping visual effects,ፊልሙ የእይታ ውጤቶችን የሚያሳዩ በርካታ የዓይን እይታዎች አሉት
most impressive though is the film open ended finale that refuses to entirely close its characters emotional wounds,ገራሚዎቹ ስሜታዊ ቁስሎችን ሙሉ በሙሉ ለመዝጋት ፈቃደኛ ባለመሆኑ ፊልሙ የተጠናቀቀው መጨረሻው በጣም አስደናቂ ነው
polished and relatively sincere piece of escapism,የተወለወለ እና በአንጻራዊነት ቅን የማምለጫ ቁራጭ
still pretentious and filled with subtext but entertaining enough at face value to recommend to anyone looking for something different,አሁንም ቢሆን አስመሳይ እና በንዑስ ጽሑፍ የተሞላ ቢሆንም ግን ለየት ያለ ነገር ለሚፈልግ ለማንም ለመምከር በቂ እሴት ያለው ፊት ለፊት ይዝናና
splendid entertainment young in spirit but accomplished in all aspects with the fullness of spirit and sense of ease that comes only with experience,አስደሳች መዝናኛዎች በመንፈስ ወጣት ግን በሁሉም ገፅታዎች የተከናወነው በመንፈስ ሙላት እና በልምድ ብቻ በሚመጣ ምቾት ስሜት ነው ፡፡
the crime matters less than the characters although the filmmakers supply enough complications close calls and double crosses to satisfy us,ምንም እንኳን የፊልም ሰሪዎቹ እኛን ለማርካት ጥሪዎች እና ድርብ መስቀሎችን በመዝጋት በቂ ውስብስቦችን ቢያቀርቡም ወንጀሉ ከቁምፊዎች ያነሰ ነው
[an] hilarious romantic comedy,[አንድ] አስቂኝ የፍቅር አስቂኝ
well written nicely acted and beautifully shot and scored the film works on several levels openly questioning social mores while ensnaring the audience with its emotional pull,በጥሩ ሁኔታ የተፃፈ በጥሩ ሁኔታ የተፃፈ እና በጥሩ ሁኔታ የተተኮሰ እና በበርካታ ደረጃዎች ላይ የፊልም ስራዎችን በማህበራዊ ግንኙነቶች ላይ በግልጽ በመጠየቅ እና አድማጮቹን በስሜታዊ ጉትጎታቸው እያደነ ፡፡
two generations within one family test boundaries in this intelligent and restrained coming of age drama,በዚህ አስተዋይ እና የተከለከለ የእድሜ ድራማ በአንድ ቤተሰብ ውስጥ ሁለት ትውልዶች የፈተና ድንበሮች
this cuddly sequel to the 1999 hit is little more visually polished little funnier and little more madcap,ይህ እ.ኤ.አ. በ 1999 የተመዘገበው ተከታታይ ክስተት በምስል የተስተካከለ ትንሽ አስቂኝ እና ትንሽ ተጨማሪ ማድካፕ ነው
the pleasures of super troopers may be fleeting but they ll register strongly with anybody who still retains soft spot for precollegiate humor,የከፍተኛ ወታደሮች ደስታ ጊዜያዊ ሊሆን ይችላል ነገር ግን ለቅድመ ዝግጅት ቀልድ ለስላሳ ቦታን ከሚይዝ ከማንኛውም ሰው ጋር በጥብቅ ይመዘገባሉ ፡፡
distant even sterile yet compulsively watchable look at the sordid life of hogan heroes star bob crane,ሩቅ እንኳን የማይነጻ ሆኖም በግዴታ የሚታየውን የሆጋን ጀግኖች ኮከብ ቦብ ክሬን አሰቃቂ ሕይወትን ይመልከቱ
this boisterous comedy serves up cruel reminder of the fate of hundreds of thousands of chinese one which can only qualify as terrible tragedy,ይህ እጅግ አስቂኝ ጫወታ በመቶ ሺዎች የሚቆጠሩ የቻይናውያንን ዕጣ ፈንታ በጭካኔ የሚያስታውስ ነው ፡፡
the film sharp often mischievous sense of humor will catch some off guard,ፊልሙ ሹል የሆነ ብዙውን ጊዜ የተሳሳተ አስቂኝ ስሜት የተወሰኑ ሰዎችን ይጠብቃል
almost every scene in this film is gem that could stand alone perfectly realized observation of mood behavior and intent,በዚህ ፊልም ውስጥ እያንዳንዱ ትዕይንት ማለት የስሜት ባህሪን እና ዓላማን በትክክል የተገነዘበ ብቻውን ሊቆም የሚችል ዕንቁ ነው
this road movie gives you emotional whiplash and you ll be glad you went along for the ride,ይህ የመንገድ ፊልም ስሜታዊ ጅራፍ ይሰጥዎታል እናም ለጉዞው በመሄድዎ ደስተኛ ይሆናሉ
daughter from danang is film that should be seen by all especially those who aren aware of or have forgotten about the unmentioned victims of war,ሴት ልጅ ከዳንያንግ በተለይ ስለ ያልተጠቀሱ የጦር ሰለባዎችን የሚያውቁ ወይም የዘነጉ ሁሉ መታየት ያለበት ፊልም ነው ፡፡
smith point is simple and obvious people homes are extensions of themselves and particularly eccentric people have particularly eccentric living spaces but his subjects are charmers,ስሚዝ ነጥብ ቀላል እና ግልፅ የሆኑ ሰዎች ቤቶች የራሳቸው ቅጥያዎች ናቸው እና በተለይም በስሜታዊነት ላይ ያሉ ሰዎች በተለይም ተስማሚ የመኖሪያ ቦታዎች አላቸው ፣ ግን የእሱ ተገዢዎች ማራኪዎች ናቸው
the smartest bonehead comedy of the summer,የበጋው እጅግ ብልጥ የአጥንት ጭንቅላት አስቂኝ
tuck everlasting achieves delicate balance of romantic innocence and philosophical depth,መደበቅ ዘላለማዊ የፍቅር ንፁህ እና የፍልስፍና ጥልቀት ያለው ሚዛናዊ ሚዛን ያገኛል
for all its failed connections divine secrets of the ya ya sisterhood is nurturing in gauzy dithering way,ለሁሉም ያልተሳኩ ግንኙነቶች የያ እህ እህትነት መለኮታዊ ምስጢሮች በጨካኝ መንገድ እየተንከባከቡ ነው
viewed on its own terms treasure planet is better than average family entertainment but true fans of the stevenson novel will likely prefer disney more faithful 1950 live action swashbuckling classic,በእራሱ አገላለጽ ውድ ሀብት ፕላኔት ከአማካይ የቤተሰብ መዝናኛ የተሻለች ናት ግን የስቲቨንሰን ልብ ወለድ እውነተኛ አድናቂዎች ይበልጥ ታማኝ የሆነውን የ 1950 የቀጥታ ስርጭት የሽምግልና ክላሲክ ይመርጣሉ ፡፡
antwone fisher is an earnest by the numbers effort by washington it won rock any boats but is solid meat and potatoes filmmaking,አንቶኒ አሳ አጥማጆች በቁጥር ጥረቶች ከፍተኛ ጥረት በማድረግ ማንኛውንም ጀልባ ያስደነቀ ነው ነገር ግን ጠንካራ የስጋ እና ድንች ፊልም ሰሪ ነው ፡፡
carefully structured scream of consciousness that is tortured and unsettling but unquestionably alive,በጥንቃቄ የተዋቀረ የንቃተ-ህሊና ጩኸት ማሰቃየት እና መረጋጋት የሌለበት ግን ያለምንም ጥርጥር በሕይወት ያለ
quietly reflective and melancholy new zealand film about an eventful summer in 13 year old girl life,በ 13 ዓመቷ ልጃገረድ ሕይወት ውስጥ ስላለው አስደሳች የበጋ ወቅት በፀጥታ የሚያንፀባርቅ እና ለስላሳ የሆነ አዲስ የዛላንድ ፊልም
despite story predictable enough to make the sound of music play like nail biting thriller its heart is so much in the right place it is difficult to get really peeved at it,ምንም እንኳን የሙዚቃ ድምፅ እንደ ጥፍር መንከስ አስደሳች ሆኖ እንዲጫወት ለማድረግ ቢተነብይም ልቡ በትክክለኛው ቦታ ላይ በጣም በእውነቱ ላይ መሞቱ ከባድ ነው ፡፡
an incredibly low rent danish film it brings group of people together in sweet and charming way if little convenient,በጣም በሚያስደንቅ ሁኔታ ዝቅተኛ የኪራይ ዳንስ ፊልም አነስተኛ ምቹ ከሆነ የሰዎች ስብስብን በጣፋጭ እና በሚያምር ሁኔታ ያሰባስባል
do we really need 77 minute film to tell us exactly why romantic relationship between 15 year old boy and 40 year old woman doesn work,በ 15 ዓመቱ ልጅ እና በ 40 ዓመቷ ሴት መካከል የፍቅር ግንኙነት ለምን እንደማይሰራ በትክክል ለመናገር የ 77 ደቂቃ ፊልም እንፈልጋለን
this warm and gentle romantic comedy has enough interesting characters to fill several movies and its ample charms should win over the most hard hearted cynics,ይህ ሞቅ ያለ እና ገር የሆነ የፍቅር አስቂኝ ፊልም ብዙ ፊልሞችን ለመሙላት በቂ አስደሳች ገጸ-ባህሪያቶች ያሉት ሲሆን ብዙ ውበቶች በጣም ከባድ ልብ ያላቸውን ሲኒኮች ማሸነፍ አለባቸው ፡፡
good movie good actress but if you expect light romantic comedy good gosh will you be shocked,ጥሩ ፊልም ጥሩ ተዋናይ ግን ቀለል ያለ የፍቅር ኮሜዲያን ጥሩ ጉሽ የሚጠብቁ ከሆነ ይደነግጣሉ
with youthful high spirits tautou remains captivating throughout michele religious and romantic quests and she is backed by likable cast,በወጣትነት ከፍተኛ መንፈስ ታቱ በሁሉም የሃይማኖታዊ እና የፍቅር ተልዕኮዎች ቀልብ የሚስብ ከመሆኑም በላይ በሚወዷቸው ተዋንያን ትደገፋለች
anchored by terrific performance by abbass satin rouge shows that the idea of women self actualization knows few continental divides,በአባባስ ሳቲን ሩዥ በአስፈፃሚ አፈፃፀም መልሕቅ ያሳያል የሴቶች ራስን በራስ የማድረግ ሀሳብ ጥቂት አህጉራዊ ክፍፍሎችን እንደሚያውቅ ያሳያል ፡፡
awkward but sincere and ultimately it wins you over,የማይመች ግን ቅን እና በመጨረሻም ያሸንፍዎታል
it fairly self aware in its dumbness,በድንቁርናው ውስጥ በትክክል እራሱን ያውቃል
deliciously mordant bitter siyah comedy,የሚጣፍጥ ሙርዶር መራራ ሲአህ አስቂኝ
beautiful and haunting examination of the stories we tell ourselves to make sense of the mundane horrors of the world,በዓለም ላይ ስላሉት አሰቃቂ ክስተቶች ትርጉም እንዲኖረን ለራሳችን የምንነግራቸውን ታሪኮች ቆንጆ እና አስደንጋጭ ምርመራ
ferrara directs the entire film with the kind of detachment that makes any given frame look like family custom made christmas card,ፌራራ ማንኛውንም ፊልም እንደ ቤተሰብ ብራና የተሰራ የገና ካርድ እንዲመስል በሚያደርግ የመነጠል ዓይነት ፊልሙን በሙሉ ትመራለች
an incredibly clever and superbly paced caper filled with scams within scams within scams,በማጭበርበሮች ውስጥ ባሉ ማጭበርበሮች የተሞሉ እጅግ በጣም ጎበዝ እና እጅግ በጣም ጥሩ የሆነ ካፔር
vivid cinematic portrait,ሕያው የሆነ ቲያትራዊ ሥዕል
hilarious touching and wonderfully dyspeptic,አስቂኝ ስሜት የሚነካ እና በሚያስደንቅ ሁኔታ ዲስፕቲክ
flavorful and romantic you could call this how martha got her groove back assuming that is she ever had one to begin with,ጣዕመ እና የፍቅር ስሜት እርስዎ እንደዚህ ብለው ሊጠሯት ይችላሉ ማርሃ መጀመሪያ ስትጀምር ጎድጓዷን እንዴት እንደመለሳት
the comic performances are all spot on especially lee ross turn as ken,አስቂኝ ትዕይንቶች በተለይም እንደ ኬን ዞር ዞር ዞር ዞር አሉ
barney has created tour de force that is weird wacky and wonderful,ባርኒ እንግዳ እና አስገራሚ የሆነ አስገራሚ ጉብኝት ፈጠረ
the ending does leave you unfulfilled but these are performances to enjoy in memorable ensemble piece,መጨረሻው ሳይሞላው ያስቀረዋል ነገር ግን እነዚህ የማይረሱ ስብስብ ውስጥ ለመደሰት ትርኢቶች ናቸው
it is so refreshing to see robin williams turn 180 degrees from the string of insultingly innocuous and sappy fiascoes he been making for the last several years,ላለፉት በርካታ ዓመታት ሲያደርጋቸው ከነበረው ስድብ እና ጤናማ ያልሆኑ እጮኛዎች ሮቢን ዊሊያምስ 180 ዲግሪ ሲዞሩ ማየት በጣም ደስ የሚል ነው ፡፡
andersson creates world that at once surreal and disturbingly familiar absurd yet tremendously sad,አንደርሰን በአንድ ጊዜ የማይረባ እና የሚረብሽ የታወቀ የማይረባ እና እጅግ የሚያሳዝን ዓለምን ይፈጥራል
an amazing and incendiary movie that dives straight into the rough waters of contradiction,በቀጥታ ወደ ተቃራኒው የውቅያኖስ ውሃ የሚሰጥ አስገራሚ እና ተቀጣጣይ ፊልም
you have to pay attention to follow all the stories but they re each interesting the movie is well shot and very tragic and one to ponder after the credits roll,ሁሉንም ታሪኮች ለመከታተል ትኩረት መስጠት አለብዎት ግን እያንዳንዱን አስደሳች ናቸው ፊልሙ በጥሩ ሁኔታ የተቀረጸ እና በጣም አሳዛኝ ነው እናም ከዕዳዎች ተንከባሎ በኋላ ለማሰላሰል አንድ ነው ፡፡
westfeldt and juergensen exude chemistry and comfort level that both saucy and endearing,ዌስትፌልድት እና ጀርገንሰን የወቅቱን እና ተወዳጅ የሆነውን የኬሚስትሪ እና የመጽናኛ ደረጃን ያሳያሉ
it absolutely spooky how lillard channels the shagster right down to the original casey kasem furnished voice,የላሊርድ ሻጋውን እስከ መጀመሪያው ኬዝ ካሴ እስከሚሰጠው ድምፅ ድረስ እንዴት እንደሚያሰራጭ በጣም አስፈሪ ነው
it refreshing change from the self interest and paranoia that shape most american representations of castro,አብዛኛዎቹን የካስትሮ ተወካዮችን ከሚቀርጸው የራስ ፍላጎት እና ሽባነት ለውጥን የሚያድስ ነው
like its two predecessors 1983 koyaanisqatsi and 1988 powaqqatsi the cinematic collage naqoyqatsi could be the most navel gazing film ever,ልክ እንደ ሁለቱ ቅድመ አያቶ 1983 1983 koyaanisqatsi እና 1988 powaqatsi ሲኒማቲክ ኮላጅ ናኮይቃቲሲ ከመቼውም ጊዜ እጅግ በጣም እምብርት እይታ ፊልም ሊሆን ይችላል ፡፡
dark resonant inventively detailed and packed with fleet turns of plot and feast of visual amazement,ጨለማ የሚያስተጋባ inventively በዝርዝር እና የመርከቧ በየተራ እና የእይታ መደነቅን በዓል የተሞላ ነው
engrossing and affecting if ultimately not quite satisfying,መሳተፍ እና በመጨረሻም አጥጋቢ ካልሆነ ተጽዕኖ
those with an interest in new or singular sorts of film experiences will find what time is it there well worth the time,በአዳዲስ ወይም በነጠላ ዓይነቶች የፊልም ልምዶች ላይ ፍላጎት ያላቸው ሰዎች እዚያ ጊዜውን በትክክል የሚመጥን ጊዜ ያገኛሉ
huppert gives erika persona that is so intriguing that you find yourself staring hypnotically at her trying to understand her and wondering if she ll crack,huppert በጣም አስገራሚ የሆነውን ኤሪካን ይሰጣታል ፣ ስለሆነም እሷን ለመረዳት ስትሞክር እሷን በሂፕኖክቲክ ሲመለከቱ እና ልትሰነጠቅ ትችላለች ብለው ሲያስቡ ያገኛሉ።
dazzling and sugar sweet blast of shallow magnificence that only sex scandal and chorus line of dangerous damsels can deliver,የወሲብ ቅሌት እና የአደገኛ ሴቶች ጎብኝዎች መስመር ብቻ ሊያደርስ የሚችል ድንገተኛ እና የስኳር ጣፋጭ ፍንዳታ
japan premier stylist of sex and blood hits audiences with what may be his most demented film to date,የጃፓን ፕሪሚየር የፆታ ግንኙነት ባለሙያ እና የደም አድማጮች እስከዛሬ ድረስ በጣም የታወረ ፊልሙ ምን ሊሆን እንደሚችል ታዳሚዎችን መምታት ችለዋል
sensitive insightful and beautifully rendered film one of the best of the year,ሚስጥራዊ አስተዋይ እና በአመቱ ውስጥ ምርጥ ከሚባሉ ምርጥ ፊልሞች መካከል አንዱ ሆኖ ቀርቧል
[a] superbly controlled passionate adaptation of graham greene 1955 novel,የ 1955 ልብ ወለድ የግራም ግሬኔን ልብ ወለድ በሆነ ሁኔታ መቆጣጠር
nicolas philibert observes life inside one room schoolhouse in northern france in his documentary to be and to have easily one of the best films of the year,ኒኮላስ ፊሊበርት በሰሜን ፈረንሣይ ውስጥ በአንድ ክፍል ትምህርት ቤት ውስጥ ያለውን ሕይወት በዓመቱ ውስጥ ካሉት ምርጥ ፊልሞች መካከል አንዱ ለመሆን እና በቀላሉ እንዲኖር ለማድረግ በዘጋቢ ፊልሙ ውስጥ ተመልክቷል ፡፡
this cheery down to earth film is warm with the cozy feeling of relaxing around old friends,ይህ ደስታ እስከ ምድር ፊልም በአሮጌ ጓደኞች ዙሪያ ዘና ባለ አስደሳች ስሜት ሞቅ ያለ ነው
tale of horror and revenge that is nearly perfect in its relentless descent to the depths of one man tortured soul,ወደ አንድ ሰው እስከ ተሰቃየ ነፍስ ጥልቀት ድረስ በማያቋርጥ ዘሩ ፍጹም የሆነ የፍርሃት እና የበቀል ታሪክ
impresses you with its open endedness and surprises,በክፍት ፍፃሜው እና በሚያስደንቅዎት ነገሮች ያስደምምዎታል
this isn narrative film don know if it possible to make narrative film about september 11th though sure some will try but it as close as anyone has dared to come,ይህ በጣም ትረካ ፊልም ስለ መስከረም 11 ትረካ ፊልም መስራት ይቻል እንደሆነ አይወቅም ምንም እንኳን እርግጠኛ ቢሆኑም አንዳንዶች እንደሚሞክሩ ግን ​​ማንም ለመምጣት እንደደፈረ በጣም ቅርብ ነው ፡፡
the film is painfully authentic and the performances of the young players are utterly convincing,ፊልሙ በጣም አሳማኝ ነው እናም የወጣቱ ተጫዋቾች ትርዒቶች እጅግ አሳማኝ ናቸው
if you love motown music you ll love this documentary,የሞተውን ሙዚቃን የሚወዱ ከሆነ ይህን ዘጋቢ ፊልም ይወዳሉ
